iter	Logloss
0	0.6732143231
1	0.6541049234
2	0.6385270439
3	0.6240073697
4	0.6101253827
5	0.6008649625
6	0.5921411349
7	0.5845466267
8	0.5768884162
9	0.5705231815
10	0.5639860714
11	0.5584068758
12	0.5539003158
13	0.5492415851
14	0.545377633
15	0.5423475652
16	0.5387704521
17	0.5358239657
18	0.533280214
19	0.5310617816
20	0.529091767
21	0.5269192793
22	0.525261883
23	0.523968105
24	0.5223024582
25	0.5211510167
26	0.5196323454
27	0.518480396
28	0.5172907504
29	0.5162371453
30	0.5155045466
31	0.5147234077
32	0.5140634074
33	0.513505583
34	0.5126592883
35	0.5121385176
36	0.5115728493
37	0.5108770432
38	0.5104902008
39	0.5097749538
40	0.5092935753
41	0.5089458701
42	0.5084310335
43	0.5080761323
44	0.5077183455
45	0.5074636179
46	0.5070959305
47	0.5067644511
48	0.5066731109
49	0.5064280154
50	0.506204429
51	0.5060485791
52	0.5057388951
53	0.5055399889
54	0.5054248147
55	0.505274764
56	0.5050512507
57	0.5048855626
58	0.5046898783
59	0.5045516783
60	0.5044573739
61	0.5043574458
62	0.5041151975
63	0.5039363851
64	0.503826832
65	0.503805196
66	0.5034177595
67	0.5033037132
68	0.5032583766
69	0.5031199976
70	0.5030764292
71	0.5030145308
72	0.5027196579
73	0.5026314617
74	0.5025314881
75	0.5024542
76	0.5023684815
77	0.5022959989
78	0.5022336167
79	0.5021647586
80	0.5020751358
81	0.5019931159
82	0.5018876249
83	0.5015177095
84	0.5014598453
85	0.5014077237
86	0.5013696965
87	0.5013011407
88	0.5012441712
89	0.5011425551
90	0.5009320573
91	0.5008828103
92	0.5008445408
93	0.5007651893
94	0.500689086
95	0.5006301572
96	0.5005955524
97	0.5005549632
98	0.5005323838
99	0.5004862537
100	0.5004350638
101	0.5004118838
102	0.5003508989
103	0.5003460512
104	0.5000987402
105	0.500061895
106	0.4998674806
107	0.4998508242
108	0.4998195681
109	0.4997837016
110	0.4996042608
111	0.4995622208
112	0.4995234249
113	0.499382763
114	0.4993507185
115	0.4993220858
116	0.499276183
117	0.4992599831
118	0.4992478507
119	0.4992123654
120	0.4990843203
121	0.499053208
122	0.4990436633
123	0.4990075181
124	0.4989801065
125	0.4989607169
126	0.4989374078
127	0.4988418264
128	0.4986569381
129	0.4986331502
130	0.4986132428
131	0.4985481235
132	0.4985327883
133	0.4985087022
134	0.4984994
135	0.4984773228
136	0.4984611116
137	0.4984323379
138	0.4984270489
139	0.4984035162
140	0.4983759457
141	0.4983499357
142	0.4983414768
143	0.4983298402
144	0.4982923572
145	0.4982814457
146	0.4982581672
147	0.498244667
148	0.4982209489
149	0.4982138878
150	0.4982060424
151	0.4981909923
152	0.4981647708
153	0.4980967279
154	0.4980565656
155	0.4980566346
156	0.4980464677
157	0.4980382936
158	0.4980257342
159	0.4980010608
160	0.4979926993
161	0.4979543182
162	0.4979422327
163	0.4979126448
164	0.4978956816
165	0.4978827618
166	0.4978290868
167	0.4978047094
168	0.4977271643
169	0.4977018842
170	0.4976831104
171	0.4976699343
172	0.4976623214
173	0.4976517795
174	0.4976372032
175	0.4976145368
176	0.4976057214
177	0.4976027167
178	0.4976013262
179	0.4975940004
180	0.4974393029
181	0.4973961634
182	0.4973751618
183	0.4973630855
184	0.4973318519
185	0.4972401177
186	0.4972179732
187	0.4971728565
188	0.4971519056
189	0.4971436948
190	0.4971392805
191	0.497130817
192	0.4970282933
193	0.4970181077
194	0.4970040905
195	0.4969729273
196	0.4969544318
197	0.4969187117
198	0.4969006818
199	0.4968786239
200	0.4968506718
201	0.4968251446
202	0.4968166023
203	0.4968005706
204	0.4967931004
