iter	Passed	Remaining
0	14	8488
1	25	7625
2	37	7414
3	49	7314
4	60	7242
5	72	7191
6	83	7063
7	94	7007
8	105	6960
9	119	7043
10	132	7085
11	144	7089
12	156	7072
13	168	7033
14	180	7056
15	192	7020
16	207	7131
17	220	7144
18	233	7135
19	245	7113
20	256	7065
21	268	7062
22	280	7045
23	293	7044
24	304	7004
25	316	6979
26	327	6948
27	337	6904
28	349	6883
29	361	6874
30	373	6860
31	393	6981
32	405	6970
33	417	6949
34	429	6932
35	441	6919
36	452	6883
37	463	6854
38	475	6838
39	485	6803
40	498	6798
41	509	6770
42	520	6746
43	532	6729
44	544	6711
45	556	6705
46	567	6678
47	579	6664
48	589	6628
49	601	6615
50	613	6604
51	625	6595
52	638	6585
53	650	6575
54	661	6559
55	674	6549
56	686	6539
57	698	6530
58	711	6522
59	721	6496
60	733	6480
61	745	6470
62	758	6462
63	770	6450
64	781	6434
65	790	6398
66	802	6384
67	813	6366
68	824	6345
69	836	6331
70	847	6317
71	860	6309
72	873	6304
73	886	6297
74	897	6282
75	910	6277
76	921	6259
77	932	6237
78	943	6220
79	955	6211
80	967	6196
81	979	6185
82	992	6180
83	1003	6166
84	1014	6147
85	1025	6130
86	1038	6121
87	1050	6110
88	1062	6099
89	1073	6084
90	1086	6074
91	1098	6065
92	1109	6049
93	1121	6035
94	1134	6029
95	1145	6013
96	1156	5999
97	1169	5991
98	1182	5982
99	1195	5977
100	1206	5960
101	1218	5951
102	1230	5936
103	1240	5917
104	1252	5904
105	1263	5886
106	1275	5875
107	1286	5859
108	1298	5848
109	1309	5835
110	1322	5824
111	1334	5816
112	1346	5804
113	1358	5793
114	1381	5826
115	1392	5811
116	1405	5800
117	1418	5792
118	1429	5780
119	1441	5767
120	1454	5756
121	1466	5744
122	1477	5729
123	1488	5712
124	1500	5700
125	1511	5687
126	1524	5679
127	1535	5663
128	1548	5652
129	1558	5635
130	1569	5619
131	1581	5608
132	1594	5598
133	1605	5583
134	1616	5568
135	1629	5559
136	1641	5547
137	1653	5536
138	1666	5526
139	1679	5517
140	1691	5507
141	1702	5492
142	1713	5475
143	1724	5460
144	1735	5446
145	1746	5431
146	1757	5415
147	1770	5406
148	1781	5392
149	1793	5379
150	1804	5366
151	1815	5350
152	1827	5338
153	1838	5324
154	1850	5312
155	1858	5290
156	1869	5275
157	1880	5261
158	1892	5248
159	1904	5237
160	1914	5221
161	1926	5208
162	1936	5192
163	1947	5178
164	1959	5167
165	1986	5193
166	1997	5179
167	2007	5162
168	2019	5151
169	2031	5137
170	2043	5125
171	2055	5114
172	2067	5102
173	2079	5090
174	2091	5078
175	2101	5062
176	2111	5047
177	2121	5028
178	2129	5008
179	2141	4997
180	2153	4984
181	2165	4973
182	2176	4959
183	2188	4949
184	2200	4936
185	2212	4924
186	2222	4908
187	2233	4893
188	2245	4882
189	2256	4869
190	2267	4855
191	2279	4844
192	2291	4833
193	2302	4818
194	2314	4806
195	2325	4793
196	2337	4781
197	2348	4767
198	2360	4755
199	2372	4744
200	2382	4730
201	2394	4718
202	2406	4706
203	2419	4696
204	2430	4683
205	2442	4670
206	2454	4660
207	2465	4646
208	2478	4636
209	2490	4624
210	2501	4611
211	2512	4598
212	2523	4585
213	2534	4571
214	2545	4559
215	2557	4546
216	2569	4534
217	2580	4522
218	2602	4527
219	2614	4515
220	2625	4502
221	2637	4491
222	2650	4480
223	2662	4469
224	2673	4456
225	2685	4443
226	2696	4430
227	2708	4419
228	2720	4407
229	2732	4396
230	2745	4386
231	2758	4376
232	2770	4363
233	2782	4352
234	2793	4338
235	2804	4325
236	2816	4314
237	2827	4300
238	2839	4289
239	2850	4276
240	2862	4264
241	2875	4254
242	2887	4241
243	2898	4228
244	2909	4215
245	2921	4204
246	2934	4193
247	2945	4180
248	2956	4166
249	2967	4153
250	2978	4141
251	2989	4128
252	3001	4116
253	3014	4106
254	3024	4092
255	3035	4078
256	3047	4067
257	3065	4063
258	3076	4050
259	3089	4040
260	3102	4029
261	3114	4018
262	3126	4005
263	3137	3993
264	3148	3980
265	3160	3968
266	3171	3955
267	3183	3944
268	3196	3932
269	3208	3921
270	3220	3909
271	3231	3896
272	3243	3884
273	3255	3872
274	3267	3861
275	3277	3847
276	3289	3836
277	3301	3824
278	3313	3812
279	3326	3801
280	3337	3788
281	3348	3776
282	3361	3764
283	3373	3753
284	3384	3741
285	3397	3729
286	3408	3716
287	3420	3705
288	3432	3693
289	3445	3682
290	3457	3671
291	3469	3659
292	3481	3647
293	3492	3635
294	3502	3621
295	3514	3609
296	3526	3597
297	3538	3585
298	3549	3573
299	3561	3561
300	3572	3548
301	3582	3535
302	3595	3523
303	3607	3512
304	3619	3501
305	3632	3490
306	3645	3479
307	3655	3465
308	3667	3454
309	3679	3442
310	3692	3430
311	3704	3419
312	3715	3407
313	3729	3396
314	3740	3384
315	3752	3372
316	3764	3360
317	3776	3349
318	3787	3336
