feature,f_score,p_value,significant
age_cat,48467.86048737851,0.0,True
chronic_conditions_standard,41481.026559270824,0.0,True
BMI,39857.94030509032,0.0,True
blood_sugar_checks,24794.520221108887,0.0,True
join_pain_level,20818.304714336984,0.0,True
cholesterol_screening_score,18472.320347398112,0.0,True
alcohol_days_year,12147.895907147858,0.0,True
max_drinks_occasion,12146.026194518177,0.0,True
education_level,9458.853962336112,0.0,True
avg_drinks_per_day,8662.17621311144,0.0,True
care_access_score,7910.831657304693,0.0,True
total_activity_duration,4986.425963176003,0.0,True
time_since_quit,4665.355383180383,0.0,True
total_exercise_freq,4447.378842118569,0.0,True
income_group,3250.2228560336557,0.0,True
hiv_test_year,2526.810682148484,0.0,True
usual_drinks_per_day,2099.795602404311,0.0,True
total_fv_servings,1101.9615418245096,2.84817693243026e-241,True
total_veg_servings,1008.2535990664874,5.799648630594396e-221,True
juice_servings_day,557.9441880306732,2.9166875088108394e-123,True
total_fruit_servings,492.3603350098663,5.161130714994359e-109,True
drinks_per_day,319.7976304599822,1.7204782769705622e-71,True
fruit_servings_day,160.58657864469865,8.575748829274949e-37,True
smoking_status,133.44726828560164,7.307545258058366e-31,True
