feature,chi2_score,p_value,significant
tested_for_diabetes,37492.0,0.0,True
high_bp_risk,27143.523484256766,0.0,True
has_high_bp,25361.28486200708,0.0,True
had_cvd,17534.178951452832,0.0,True
uses_exercise_equipment,16046.438091204293,0.0,True
blood_sugar_checks_missing_indicator,14926.66828802603,0.0,True
vaccine_score,12383.735579322289,0.0,True
tested_for_diabetes_missing_indicator,12271.960941108164,0.0,True
has_activity_limitation,12162.204431946951,0.0,True
has_arthritis,12017.801781824348,0.0,True
general_health_cat,11587.112603435306,0.0,True
general_health_risk,11587.112603435306,0.0,True
alcohol_user,11206.090150250417,0.0,True
pneumonia_vaccine_status,11105.44444889098,0.0,True
no_cholesterol_check_5yr,8664.316315542606,0.0,True
had_pneumonia_vaccine,8157.630088562135,0.0,True
arthritis_social_limit,7741.6094812218635,0.0,True
alcohol_days_year_missing_indicator,7411.79022293604,0.0,True
has_kidney_disease,7263.130806497577,0.0,True
avg_drinks_per_day_missing_indicator,7158.12123015873,0.0,True
arthritis_diagnosed,7132.699511842343,0.0,True
arthritis_social_limit_missing_indicator,7063.992580854282,0.0,True
is_binge_drinker,7016.739700490896,0.0,True
physical_health_bad,6973.858714880333,0.0,True
max_drinks_occasion_missing_indicator,6742.830824973372,0.0,True
join_pain_level_missing_indicator,6586.150724111519,0.0,True
arthritis_diagnosed_missing_indicator,6555.7855933370965,0.0,True
has_high_cholesterol,6164.548678514521,0.0,True
pneumonia_vaccine_status_missing_indicator,5974.937353708794,0.0,True
heavy_drinker,5786.436074888905,0.0,True
has_strength_training,5736.283218122458,0.0,True
poor_health_days,5231.199427127924,0.0,True
college_graduate,4813.029693063506,0.0,True
meets_strength_guidelines,4344.252314724126,0.0,True
low_income,4080.6588275981326,0.0,True
total_exercise_freq_missing_indicator,3579.0554438934482,0.0,True
total_activity_duration_missing_indicator,3496.4012148586557,0.0,True
lives_alone,3452.64724475245,0.0,True
takes_aspirin,3443.0033654053586,0.0,True
has_depression,3211.0456135091927,0.0,True
poor_health_days_missing_indicator,3026.3269868304997,0.0,True
vaccine_score_missing_indicator,2775.6003841053976,0.0,True
other_cancer,2584.1771821241146,0.0,True
meets_aerobic_guidelines,2470.1041046902324,0.0,True
exercised_past_30d,2470.1041046902324,0.0,True
recent_cholesterol_check,2436.3510969692147,0.0,True
current_asthma,2406.939772273272,0.0,True
asthma_now,2406.939772273272,0.0,True
has_asthma,2022.4776410752343,0.0,True
cholesterol_checked_5yr,1858.7208775922345,0.0,True
is_pregnant_missing_indicator,1614.559117829753,0.0,True
ever_hiv_test,1173.0362210647488,4.419121724652925e-257,True
time_since_quit_missing_indicator,1171.8164519835752,8.136375565305549e-257,True
had_cholesterol_check,1119.8774113180332,1.5800753719002942e-245,True
ever_smoked_100,1027.8818056553332,1.5626037362110008e-225,True
is_pregnant,810.4542836573074,2.8782596165432515e-178,True
skin_cancer,737.5842109515986,2.0094215429363312e-162,True
recent_pap_test,731.7662152045192,3.699540251525957e-161,True
usual_drinks_per_day_missing_indicator,680.3703824208135,5.551112151613675e-150,True
hiv_test_year_missing_indicator,459.1019821455591,7.539036930668546e-102,True
ever_asthma,366.32703180498567,1.1801135085680448e-81,True
ever_married,361.51857261118226,1.3149857587049026e-80,True
asthma_now_missing_indicator,353.74525441624235,6.479919458274036e-79,True
child_has_asthma,297.43987212875993,1.1899942197692548e-66,True
current_smoker,287.922370680003,1.4101277520781393e-64,True
mental_health_bad,239.08823916072885,6.216008918578528e-54,True
has_cost_barrier,165.760296880011,6.240610088004097e-38,True
ever_mammogram,140.651002073255,1.918036703357721e-32,True
recent_pap_test_missing_indicator,86.38366291821369,1.4820419390578894e-20,True
is_female,47.669967540880116,5.043590930360203e-12,True
uses_ecigarettes,40.702672397682676,1.7724461458212612e-10,True
recent_mammogram,26.000370233246947,3.413518897710242e-07,True
no_cost_barrier,22.579648641058444,2.0160898079433216e-06,True
takes_aspirin_missing_indicator,15.077123744751505,0.00010320646923800116,True
ever_pap_test,12.484996399135792,0.00041023350381451,True
has_missing_fruit_data,8.842138343974328,0.0029435406408411017,True
ever_mammogram_missing_indicator,0.46065436385092956,0.49731831408583205,False
recent_mammogram_missing_indicator,0.4436952756868355,0.505344274477233,False
ever_pap_test_missing_indicator,0.42024623803009575,0.5168142018529591,False
meets_fruit_recommendation,1.0986958480283904e-05,0.9973552903012528,False
