feature,f_score,p_value,significant
med_conditions_score,91648.49256986828,0.0,True
_RFHYPE5,72687.3675028099,0.0,True
age_score,48467.86048737851,0.0,True
health_score,47605.36361917695,0.0,True
_RFHLTH,43359.82218645567,0.0,True
BMI,39857.94030509032,0.0,True
weight_kg,25284.68517991129,0.0,True
_DRDXAR1,22013.993645375693,0.0,True
cv_risk_score,21276.624981905108,0.0,True
alcohol_level,20931.846000324647,0.0,True
_CHOLCHK,18472.320347398134,0.0,True
income_score,13836.610490319063,0.0,True
care_access_score,11805.056977475377,0.0,True
edu_score,9456.626449950892,0.0,True
strength_freq_weekly,8612.320882288794,0.0,True
_ASTHMS1,2763.0345571936505,0.0,True
_CASTHM1,2724.600628793021,0.0,True
_LTASTH1,2404.5665070325863,0.0,True
PADUR1_,1210.3336857767285,9.463868858087689e-265,True
arthritis_limits_activity,549.2804601793326,2.2218742653044127e-121,True
height_m,522.7285421271104,1.3020382010418519e-115,True
diet_score,204.56398934375247,2.1702843427676314e-46,True
smoking_status,133.44726828601185,7.307545256568066e-31,True
SEX,114.33871631720055,1.1085448351832624e-26,True
PAFREQ1_,57.84815373010321,2.838262386421705e-14,True
_MISVEGN,1.067132759897012,0.3015946727738532,False
