feature,chi2_score,p_value,significant
has_arthritis,7132.699511842343,0.0,True
ARTHDIS2_missing,6555.7855933370965,0.0,True
meets_strength_guidelines,5934.976282595117,0.0,True
low_ses_flag,5170.486724350317,0.0,True
meets_aerobic_guidelines,2566.587494587339,0.0,True
any_physical_activity,2566.587494587339,0.0,True
arthritis_manages_weight,2439.742058753284,0.0,True
current_asthma,2406.939772273272,0.0,True
arthritis_exercises,1469.699050401753,0.0,True
ever_hiv_tested,1173.0362210647488,4.419121724652925e-257,True
ASTHNOW_missing,353.74525441624235,6.479919458274036e-79,True
current_smoker,150.56640027206257,1.303645822542358e-34,True
had_mammogram,140.651002073255,1.918036703357721e-32,True
HADSGCO1_missing,77.98736208744677,1.0370192325908663e-18,True
asthma_attack_past_year,76.29069767441861,2.4483450493926935e-18,True
uses_inhaler,53.15819209039548,3.0773935303169105e-13,True
had_colon_screening,42.401305057096245,7.434041848334399e-11,True
had_pap_test,12.484996399135792,0.00041023350381451,True
never_smoked,2.8795910639909126,0.08970880130987728,False
HADMAM_missing,0.46065436385092956,0.49731831408583205,False
HADPAP2_missing,0.42024623803009575,0.5168142018529591,False
